gene	celltype	trend_class	score	RNA_mean	RNA_rho	CaH_RNA	CaB_RNA	CaT_RNA	H3K27ac_mean	H3K27ac_rho	CaH_K27ac	CaB_K27ac	CaT_K27ac	H3K27me3_mean	H3K27me3_rho	CaH_K27me3	CaB_K27me3	CaT_K27me3	H3K9me3_mean	H3K9me3_rho	CaH_K9me3	CaB_K9me3	CaT_K9me3
PLCB2	STR D1 MSN	DOWN	1.429758892522	0.03588646650314331	0.1518203494913532	0.040557701140642166	0.037906114012002945	0.029195541515946388	6.234686588868499e-05	0.12552763819095478	6.365823355736211e-05	6.321784894680604e-05	4.889239789918065e-05	5.053665518062189e-06	0.5859794679722694	5.012674591853283e-06	5.421679361461429e-06	4.161383913015015e-06	4.290863216738217e-06	0.743741186222439	3.3849805731733795e-06	5.0390613068884704e-06	7.0945261541055515e-06
LINC02355	STR D1 MSN	DOWN	1.421338692968323	0.032305315136909485	0.3130695926087642	0.0352775901556015	0.0317046158015728	0.029933715239167213	5.820580554427579e-06	0.5338399404096639	8.387266461795662e-06	3.3880974115163554e-06	3.289907908765599e-06	2.1475563698913902e-05	0.11272331808295209	2.0773302821908146e-05	2.3065291316015646e-05	2.0222092643962242e-05	2.9538670787587762e-05	0.5002880072001801	2.509696059860289e-05	3.469231160124764e-05	3.640661816461943e-05
GOLT1A	STR D1 MSN	DOWN	1.4185782260475241	0.06237264350056648	0.36426584287797037	0.06731811165809631	0.06527375429868698	0.054526060819625854	0.00010012790153268725	-0.8061426535663393	0.00010320932051399723	0.00010063750232802704	7.735477265669033e-05	2.604633664304856e-06	0.2610484463073387	3.067561920033768e-06	1.930039161379682e-06	2.3197590053314343e-06	1.7492051256340346e-06	0.6214694545069621	1.4120953437668504e-06	1.7623686972001451e-06	4.021202585136052e-06
DRD2	STR D1 MSN	DOWN	1.4178011599784426	0.037852514535188675	0.3159983800542666	0.04382971674203873	0.040274478495121	0.02945333532989025	3.907267455360852e-05	0.15417685442136056	4.0721683035371825e-05	3.865726830554195e-05	3.084527997998521e-05	9.957385191228241e-05	0.14318157953948848	9.657595364842564e-05	9.511549433227628e-05	0.0001276903785765171	4.34388748544734e-05	0.793111827795695	3.932278559659608e-05	4.467829785426147e-05	6.61831654724665e-05
GUF1	STR D1 MSN	DOWN	1.4124332861303155	0.171198770403862	0.19568370498649335	0.18243137001991272	0.1721828728914261	0.1589823067188263	5.4480915423482656e-05	-0.8007980199504988	5.6894819863373414e-05	5.552549919229932e-05	3.292778637842275e-05	3.367310455359984e-06	0.4779634084636248	3.2139782888407353e-06	3.4722520467767026e-06	3.814336650975747e-06	6.983232651691651e-06	0.43321121559115944	6.6210859586135484e-06	5.760163730883505e-06	1.5154480024648365e-05
DNAJB9	STR D1 MSN	DOWN	1.4039989884103945	0.05226381495594978	0.42963913493060146	0.05954048037528992	0.05759964510798454	0.03965131938457489	9.697041241452098e-05	-0.697289432235806	9.880377183435485e-05	9.681895608082414e-05	8.603830065112561e-05	4.458372131921351e-06	0.5954555760184082	3.642262299763388e-06	5.0708313210634515e-06	6.677267720078817e-06	2.5877554435282946e-05	0.568212705317633	2.2205258574103937e-05	2.8861913961009122e-05	3.746875881915912e-05
ALDH8A1	STR D1 MSN	DOWN	1.3862502990916112	0.10713537782430649	0.3058500023161772	0.12263928353786469	0.1164245754480362	0.08234225958585739	1.831278314057272e-05	0.07919297982449562	1.9174594854121096e-05	1.788227746146731e-05	1.5240799257298931e-05	6.476268936239649e-06	0.6850427763675156	5.551958565774839e-06	7.188280051195761e-06	8.934741345001385e-06	6.8025055952603e-06	0.6077087101959331	6.212442713149358e-06	6.92945013724966e-06	1.0298086635884829e-05
SLC8A1	STR D1 MSN	DOWN	1.3805849264754124	2.3132407665252686	-0.2644890772860974	2.572377920150757	2.3278276920318604	2.039520740509033	6.20343053014949e-05	-0.11106277656941424	6.765533908037469e-05	5.826145934406668e-05	4.754991823574528e-05	2.21797176891414e-06	0.5265781085249321	1.977966348931659e-06	2.216917664554785e-06	3.4097076877515065e-06	6.676526481896872e-06	0.5191587224366452	5.577902811637614e-06	7.02880106473458e-06	1.2647914445551578e-05
MRE11	STR D1 MSN	DOWN	1.3731515618066255	0.2536204755306244	-0.16351188395078206	0.27224624156951904	0.25581109523773193	0.23280346393585205	3.233863753848709e-05	-0.20700667516687918	3.6259032640373334e-05	3.062882387894206e-05	1.693358353804797e-05	4.084467036591377e-06	0.45848470409937436	3.836005362245487e-06	4.261733465682482e-06	4.78737274534069e-06	9.280610356654506e-06	0.4554757314059966	8.76938702276675e-06	8.964120752352756e-06	1.4284402823250275e-05
PI15	STR D1 MSN	DOWN	1.3696027083765014	0.0387355200946331	0.29732155554984085	0.04349968582391739	0.04287397861480713	0.029832934960722923	2.7642880013445392e-05	0.16389709742743572	3.271971218055114e-05	2.3082080588210374e-05	2.1195492081460543e-05	1.0840352842933498e-05	0.38427210680267015	1.0050722266896628e-05	1.2170450645498931e-05	1.0792293323902413e-05	1.5471219739993103e-05	0.32254406360159005	1.3448758181766607e-05	1.7927217413671315e-05	1.8092143363901414e-05
